,title,author,resource,genre,place,publisher,date,content,topic,repository
44,"Explication des planches anatomiques du corps humain, exécutées d'après les dimensions naturelles","Antonmarchi, François",text,bibliography,Bogotá,Universidad Nacional de Colombia,2009,3 v. ; 30 cm. + 81 leaves of plates.,Anatomy,Francis A. Countway Library of Medicine
45,Un poco de todo,"Merchán, Rafael María",text,No data,Bogota,Imp. de La Luz,1890,,Relations,"Houghton Library, Harvard University"
46,Contribución al estudio médico-legal de las cuestiones relativas al instinto sexual y los delitos relacionados con el sexo,"Sarria, Gustavo",text,bibliography,Bogotá :,"Tipografía Rojas,",1944?,187 pages ; 24 cm,Paraphilic Disorders,Francis A. Countway Library of Medicine
47,"Cúrese comiendo y bibiendo: nutricion completa, plenitud humana","Rojas R., Israel",text,text,"Manizales, Colombia :","Editorial Zapata,",1954,"176 pages, 4 unnumbered pages ; 17 cm",Diet therapy,Francis A. Countway Library of Medicine
48,El sicario,"Bahamón Dussán, Mario",text,novel,"Cali, Colombia :","Editorial Orquídea,",1988,182 pages ; 20 cm,Assassins,"Houghton Library, Harvard University"
49,"Simon Bolivar, libertador presidente de Colombia etc. etc. etc","Bolívar, Simón",text,government publication,"[Bogotá, Colombia] :","Bog. Imp. de M.M. Viller-Calderon,",1826,1 sheet (2 unnumbered pages) ; 31 x 22 cm,History,"Houghton Library, Harvard University"
50,"Simon Bolivar, libertador presidente de la republica de Colombia, etc. etc. etc","Bolívar, Simón",text,government publication,"[Bogotá, Colombia] :","[publisher not identified],",1828,1 sheet (2 unnumbered pages) ; 31 x 22 cm,History,"Houghton Library, Harvard University"
51,"Republica de Colombia: Simon Bolibar, libertador presidente etc. etc. etc","Bolívar, Simón",text,government publication,"Bogotá, Colombia :","Imprenta de Pedro Cubides,",1826,1 sheet (1 unnumbered page) ; 31 x 22 cm,History,"Houghton Library, Harvard University"
52,"Simon Bolivar, libertador presidente de la repùblica de Colombia, etc. etc. etc","Bolívar, Simón",text,government publication,"Bogotá, Colombia :","Impreso por J.A. Cualla,",1828-18,1 sheet (1 unnumbered page) ; 22 x 17 cm,History,"Houghton Library, Harvard University"
53,El tiempo,No data,text,Newspapers.,"Bogotá, Colombia",R. Garcia-Peña,1957 - 9999,1 online resource,Périodiques,No data
